UPOS	SPOS	EqlNumUPOS	EqlNumSPOS	gender1M2F	number1S2P	polarity1p2n3nu	Positive-Sentiment	Negative-Sentiment	Neutral-Sentiment	Morpho1P2S0N	complexword	compoundword	Reduplicatedword	Lema	Diac	Infinitive	UnigramProb	Token
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0001	يقين
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0008	اڪثر
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0007	ڌوڪو
X	نامعلوم	18	18	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0064	ئي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0026	ملي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0023	وقت
ADV	ظرف	7	7	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0007	سدائين
ADJ	صفت	5	5	1	1	1	1	0	0	2	0	1	0	1	0	0	0.0001	هڪجھڙو
ADV	ظرف	7	7	0	1	2	0	2	0	2	0	1	0	1	0	0	0.0002	ناهي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	رهندو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5	5	0	2	1	1	0	0	2	1	0	0	0	0	0	0.0008	وڏن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	ادب
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
NUM	صفت عددي	12	12	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0032	هڪ
ADJ	صفت	5	5	1	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	عمل
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	تي
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	فرض
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0086	به
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5	5	0	1	3	0	0	3	2	0	0	1	1	0	0	0.0001	وڌ۾وڌ
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0026	تعليم
NOUN	اسم	1	1	0	1	3	0	0	3	1	0	0	0	1	0	0	0.001	حاصل
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0068	ڪري
NOUN	اسم	1	1	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	معاشري
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADJ	صفت	5	5	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0011	خوبصورت
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0005	بڻايو
